from,to,value,fee
1Kp872nRu3B51rA5gz3wApRGhM5kNWRYsv,1CAQDkMGuP5jiimxyyBSaVbJgBmLVyAkeD,35795,31889
1Ec2YE63G7UdHECXjuTTtRQMKnoFTo5YxX,1N3mLCxNhgtRMge6K757wVGB2TQMuYs71a,1324,53482
1PcFaWGn222fYD7P2L5ZJKixvm1NXY7vTJ,14QpW8eFqua8mVhhM6NS3VpS3a9BaEbQvT,200819,32318
15xG1qDBBRKn7Z2fQRhvJGsKikGYtWiE5v,1MXU9iKb9QaoyDd4FrwrPm7QjdEXQ4aF6U,19313,53482
19W4zDhfRUGvDRbvsadmqvPYvreZn11ReY,17XLM4ChYaugaN36CqbEuuB9rfyP2SwBEF,74122,32318
1LuZnJvrxVVJXChkDTLbiJUoa3rQwrKr8x,1JNfLeky5jvnCsRBEpPnX71SWxGaf92bar,81733,32175
bc1qqzjkr8q3afp6s6zpc7cfq5lnns4zxdk5rls72x,bc1q5zsst7mxn2prc58fqykk8j8twrdry6cfa7wqn9,10000000,20163
16Nvy9uJfW2vU6f37CWkCF3GM5tE76Jk94,1JCHiztWGH92AdTrq4iDLt432dCbdyFQFv,231267,32318
14hazMEka6x8DqFsrLzhKKcPFKRg5Deag2,1CrKymrFS15WVxXao2TH4LbSjwV4U7tdsv,68546,32318
bc1qcrsyepkmj7f5ah2q594gfwfz9rstt3kux75d29,bc1qt4gygnv24kew9dy5zk7e4kpg40qvwqqpaxjkfq,459132,20306
bc1qt4gygnv24kew9dy5zk7e4kpg40qvwqqpaxjkfq,3Ctpa7948Xz2p1bap29R1vYd1bmW7ync3d,132694,20306
1MGP4qHm3f8i581earDvCjHGAef9MZmYnW,1JEFNCc4JpZEWXLoiiGfJdQcntGCPzDxVN,402724,32175
1NwQ9AfdXcshYNc2jACEtxeWKeKeWGw8es,3JyMLFMiWrHWdP5zyR7HSEb73imfJdbu4H,244453,31889
15pypW5EdRgNvMxaK85T7TeyMXz5jv2DLG,1EJDMRQ8Nuu56PFNJ5XcULcex9YivooER7,51191,32318
16kjncKtX6JFbYjmp1sJTBiSuoQVXCh7iA,1MyovsjdVRcXvt2gmK5dJuCRZabwibB1kh,42480,32318
1JiTZy2sHbb4kFUwJSzBMDFUyxau4vqcX1,1Ln4uNWDQVFFPXsmDZUWxWEUKn8ZaG5vL5,106169,32318
3DNmQNL4GUbwuChiw6RQXAj8XpTdY6dG3W,1HDcvSUMjZRr3YbVbJWnihJJWLYJnNhEM7,20000000,24024
bc1qh5ckj4xmla32kf2dr7psyzc6utv6xn7ghpstjd,38QYa4hr2W4ANJoPKFBm8rXth7yjRg94bt,201000,20306
1JDCxuZiKrg2mFxoiLPsfm32bJFivgtX16,1JrE18dJeeeNw3w1wsKtjYQaqoEycoH62h,560466,32175
17RuXcf3zUPxUVgVRuSFSnU4saBLskrMHT,1PZXqu5cNNkyL5RyYAHVLheNXN9DGzkP5x,41563,32318
bc1q6r3gtyg9wgwc727f6nvjrzphdxgkffacvd0c7a,3QhbS7wJeZ2ve8QPDXK6weamwCJojxDNQR,150000,20306
1KTxDm15hB1ouZTLr7TWVb1ZTP4g7GjX1i,18z1cWtWwwdMjfRGU4NndN1T9e6UDES7GG,18302249,32318
1Ce6rrRgn2hpYrxnrpwps6K3i9YnGLmfGA,18w3ENc55g6h5D93JW413PB84JdZDKLS5B,1503,53482
15QVDjLxdksptPuopLHHoUfpZWMCLWGwRL,16cHNVfAky7HqJQ3qUJMUVi94pzE5C4oR6,42700000,32318
bc1q6vd4jnmcaa7e9y7d6g450pjc4vlhghfezy3yw7,3Bx3zAzENRR4AiLxn8PTBt4qDNAp1VWQ3p,40987,20306
1DSx1KJYRHiXjZtrgrscqy2RuwdPEPVWsy,36dnghfLrhJBXxQG32poAtpm98SFy2EnS3,112313,52910
1GfPFTTrs4HX3gnjCVqfF4Lwi8pN9JkLua,1BHMgsjXhRRBQQYMcd8xPK312TJ3zqDbDW,100400,32318
1B7zgop9wJgVUjdxKbPyh5oT9GqYMTiDoV,1JFajGSJKjhUTC4ZZbB9A1iYkT1jjXD77U,85299,32318
bc1qkgrslpdw49waatr8dy60k4jt0wh55kp7uccjt4,36nrNb37dXBTZG45wH3SeFxxxxq8B6iX2i,120000,20306
1CFHX79sW3WaiQ3dTqbL4RkwVQodhTcvpu,12APQAyVpEw1wec1LZmRp3iYmzXJSVdCik,168688,32175
16jPDuS2RKTb4W2Md7oKGSSaNotfe5TiCg,1G4RDRFC54msbkLs56arj1vxx2obJhVi16,401600,32318
1KQYtfTWo5JzZyWnLb2YzxKhycSocJwo74,1BYrkvtQMdmhCi4e16obzMwBGoWZoVCoZG,54775,32175
1MEkLRHkb4L9KQySZW1CoT637FL3KZaGeS,134BXz8is4GXeFzuintGzmgYiY16vMXVS7,206844,32318
1DS6Jk4GZGmVEfP1GhY5x1UDr2NSdEXRFA,3Ke1XLRiLDPd96Cvdq8RypWehx6qTL6UUS,70562,31889
1M2V2e8NuWGnzgKV6ArN1Yp7RzUk98azgZ,1Q1KrVsvqtGRB7NhxCo4N9x5NLW8FpMjAM,803200,32318
1K6VeHDKfMAi4HmLeqFMsJvVB7b7AYmhzZ,1AXEDJk3UdyrfWqK8hVq54Jy5GabN7ry4b,1417,74646
bc1qqx843m2melzrvw2fmay8kzha2dvk9e96pm3uee,bc1q5amwdl0skf338hcc6mqkzsf4cygu2hdxspcjct,49394,20306
17QDTBGyqZfS1gn7fgbbxWZu91yLS2k5SZ,1LKp3S1yu1d4eRiRwVFD2ypSaV6nHrfCw8,19112,27313
1LNzLjTNPZ1tBLisnY9WGFMbDEV6V8Sd5p,1N3RyMJ7NCfze5MXQBZ5uW8qs1Qh3um4XP,1989522,32318
14myGUoTBvuE1QXMjEnKcTLAQXQFWJciqh,bc1qs7prufye7lu9x4x3y8ux0gquw665gtdpcdeqcc,1615954,31746
15Y4hcKrU2MzzF9t2vrVYUTZyvsB1rKHJe,184UeF8Qbwj1huDSJHaHfL7RnzMrC5Wycz,100800,32318
1xyG52PGhFgc1HoveEcBxvNvKQmh7fsoY,17fZDTvRYmfb9vCMo8aJW6FaREiCdCPCPn,93993,32318
32fWuVPXFBaiQqn74dRke8ZaEzotvs9kV3,1HqwTfSVUYC85JwxyYbcsuLSiQrXHgc5NL,3000000,24024
125bT1Lk7PPRH8LMdWAjtw9tSqJmNHB4pa,1N12HxmFAYq8zZKGqaQPuHGLNYU7wdu22J,46704,31889
1AKaaRc8Nyxvgjvm2gAha7Tg39XSW444FK,1PWmuNbVKgGCjtnnJ5ywpVuJjnkHcbLfQC,112120,53482
1KMinrV7zdjTFSPE18iQJoeZj4j3UVQkBC,15sha7tMGeWQ8w8LQ4cYAZGaU6Lo2nWZX1,313057,32318
bc1qy8gdfhy80c5ja298jkvsjnzfqxgg5w7c0wepl7,bc1q40yss2ezu6eh54v8dktjqdqkrqm8ksc2m3fpyq,249809,20306
1A9WsciT9ZNKZnpS8NTTCmbCU8fikgWRnw,18dRnN5sSKAn9fmG5jnzKDd3R7RX9tnrmu,920,32318
1GZPZ5iebsBdoS7gHEx1avUFKnG3nXMkhe,1NyGUUpCkjp5Ndja1KRt9JXQ2PrEdKQYsp,1766,32318
bc1q2q78fmnu06e4elx8d0murgrxg9zyz8yakj87r9,bc1q3mqqat09cw92s8730vzqnctpgy3vxt8qde83m3,51772941,20590
bc1q3mqqat09cw92s8730vzqnctpgy3vxt8qde83m3,3FbgCX5uaEDwaJ1RVJ52FnY97JvRum4dWg,35300000,20306
bc1q3m7vyzqk9mrxckjdqje40gyl52pruzcdl7aqry,17gPRK7E9yZDL8AXZGQgUGWXKUr4zBZeLc,402604,20590
bc1qv0a5ja93plmw0qckdtkh5xvtxjwxnqv5uh366f,bc1q8q7x87mq43q8tyxummw2xkawhkaqlj8xxnl6u6,21416179,20590
bc1qct5kt2npe3yjdycwr6fuhvgle56ches2lvyu5d,1PiWLS8Z1HuufHB5vpTyZEdQFzCU2xEB3q,130000,20590
bc1qeffszejddcc2q9t0wq5vxjjq540hzck03ez6h5,bc1qx2qtl28mlkywgf4e2ysucxmf84ledr3urfczy7,48381,20590
35sYoDujtwRsJ72v28csGEwHcnpGcfKpnL,1QAp3Gj6BzXu8LPLaQ2Q7b7CxjZvZBGBpj,2706965,22932
1QAp3Gj6BzXu8LPLaQ2Q7b7CxjZvZBGBpj,1G1NZ4o8C9XU1jgYzDqAnqo7WVmg3m5AFB,2671709,35256
bc1q2hhealq08ugyl8dxftscu0kv8c96u9y77lvng4,3KBGvPi3XyVnhNbboUFjpn7NM4MGqzuSMt,50000,20300
bc1q3qk36u77gzm9qf6j9szvww35fp0pvmu7duqdh3,3BSZfwXXHT63u8TuGL4yfqtRoTUrSFekAg,2200000,20300
bc1qgc0ppuc8kycmt5ut4uu3v4ca4uwwvp2vwt2vyr,bc1qajt6myycy7adnh694ay79esp4je9aan0vhc3al,480100,20300
bc1qphept0rgdhxhmqsjr0m2hex3lh3esxmfz4dsdt,33NNUkoFLDagJhKbEDAKmxRw7hrCTh7dfY,37000,20300
bc1qnxvmlpcj6smzfswheskujmhrtsz50tx2kawp59,376RTDdTQnTNP52yhV4r1WSzqvZGcqd9hv,1000000,20300
bc1qyynw3cfclksv7z046wwpjcl0zynwm0ecw4vxvs,3KyZcCWSkuEqXDwtxPYHaBDwZDB9rBXW1E,37000,20300
3LCqnynsrshoLmbMrQBysgnzK2Jw5xeKAw,bc1q0x8axm0epa85ev4wvx4t7xxswmx0ereu9qmym2,221400,31879
3NCjkVnMVurCPS5Zn1VL2dG5Ugy5aFpXy5,34wsLuRZXr35EDeMPPZE7XsyacDJd2sSAa,192069,35594
bc1qwxmxnvennhssmz96t5m9eenxzseyrq0jpy66ey,bc1qdmkfc5320sqrc4g0ywag8dhj5d32yms6ded57adyd0xl6g9cjuqsvnlvzr,1000000,50878
3QXCZxR92d1K92zJiFVhYTm6PRJoJmbhfb,3K59TwNtVeiBvJ8LyNQoftzAPnWwWv7Foi,2067100,28295
38aaih2X5fkFixqD5ury9f5n14NrLPkK2x,32vHNHVzPDvbCCyW3zPHxEBsye6nsqHpjv,10959781,19149
bc1qq0ze2p6a2zlj79f4h86jet0m4c5ukf93mt2394,1GTkwhAextyvrJy8J7nm8NKQ3z3LwwkjS7,322017,20578
bc1qu486ddxc9ngtswgennu5x6yw45nvnv4t9kt930,1GBMGWZAczYBtbAkPGuu1ETFp9gV6h7DwT,2298942,16148
bc1qyl9rcx2wmmpuqd7k5zhm57y48pme57yuvlkdfm,bc1qudz8txzajzmjdjmkdcqam6x9rpkhmhja2n6ys8,337786,24865
3LcQgAGLGzGfahhTpN5gM4fiF82Zkishta,bc1qvsrkqq2tcxctrmrn26lfy7q4rc0uy9tpxypwsv,6993050,19006
12Hc6JaKVFJ6fN36Zn2wsPZYYT9oNeejXL,34ZfEfTh3VsP3CiXmubnrtxb736pjrBcUn,80572,32010
bc1q600lr0atl5rnpjm5qzshst9dyxcwwjdg5l8309,3PaZyxUiN9zZn4dThGmgZTmKAYBZ4enVWs,30000000,20292
bc1qyrhtymz3ga35zvwerdvmguslrt0jdldxahvf4s,3EL8EvRYYXkWHrV6HDogrRCfbMXS6kH2nV,142935,20292
bc1qnxnslrgmut9vrj54rrt8k2tw9htanz86sznnwe,3EsR5KodsWdhRr9are5UUaJDX8PuER15v9,245844,20292
bc1q9a9mvm4ysmy27zekhzggtfqckmcesflh8mdkan,3H428aMNZFzunpTs4ewrU1EFbo5XTst54R,245844,20292
bc1qvtj5nmcvjvh33sszzt777vxj9sey5jjgvyulu9,3MaSxZGPGEFPfXWocDXmU37DzwpHzXnRW3,142935,20292
bc1qtm44r59y5k9du7f8khelfpcgg0ytxy7rvm3yc2,bc1q8nrvyxz9qd8qgt2x7xcvukc08vknz48wecnsam,560,20292
bc1qwekc03s4gvjwwp62d2y4zuq6e69ap7n0tkwhlg,39exkFDZNRCWAbdd9aLKfkpangW7fxWfZm,179000,20292
bc1qvc4jddk2krvwsufgtx60wns7ev7ydv83ydr02r,bc1qwzdp3leqmv4prg5c77s78c6392qh28fssthzps,256009,20292
bc1qemm2yf8rr64vp2y8hcksfx78yzghu2f5ncm60l,bc1qd96luuz3xqvzjfqwdws6uzpures3euxnshg26t,64547,20292
bc1qe6pj2actdvsg9v26gpml6x2d2csx6p6sur4sr4,bc1qe6pj2actdvsg9v26gpml6x2d2csx6p6sur4sr4,17395,20292
bc1q50mwtec0y5ddukt45qjuksrjkzp4mqdhlm83g8,3PWHSmp4JjT1LoSY3n848wk8UZqbT7D5SE,142935,20292
bc1qtpr7xlevqvcfk5dswdrh7cc3dqefufawqrmk7q,35WGByHG7nHTZCSsH5SnuoEEgK89nmiY3F,684138,15862
bc1qmxs7hhqcg4rdfeg8dedggjpxyq3qtt4cj0j2gj,bc1qd463fmweaepwam90rcdrfx50cv9ll7delp3gw9,100822,20149
bc1q2u05xpn946ne8ya40mq9v9eqt34uqlphc3cf9n,bc1qyfnnml7yf55m47tfnype2yavhpym7p95ygmhav,924597,20149
bc1qwqnu48d5nu835hcvkcc5x2vnlh4aw40d9djw9n,bc1qe5emhgsudht4pv0dp8lu7sss38vrw7lzgzpxug,14534,20149
bc1qzfzurdys569mprn3xjy27zjwvwduq7zd49g35n,bc1qel7v5gxpxphzckq4dcn0mxr3jdddtj3zf7d234,176024,20149
3Ggn2zhbJ8N1QqTFDuR8jZoakzWe1efqQc,bc1qk4z3sru7mrx6rslww095tyxvp8ecp2gaqnv2e7,50000,57446
18YZS9RfywDVetCW8TfvTH65LWiTqBDp2E,1DCqX4YRGj6HninWTmRnS2Qk39TNEBaCxP,376139667,48586
bc1q39puqlfcaqaq08ayhhj0tyku40kd6n65m03pc9p69zx5laxqv98sns2k5h,bc1qf2ctvf97mw8dragt3ejk9p65x8k5awrtjv7sj9,50000,25722
bc1qfswn7gv74cpgp5czcak5gc7qz3uzfz04ctx5q67p2g36k0ppsr7s9c8dyq,3JVMhS2SvbhKRH9f3ToDUhPr2cT7MQEBbF,494200,27151
bc1q0f7r3esq4ldwtzdprrca6pfecjn4jtwuy2xyc5,39tNtxL3VgjLWsjEFFfcBVjYE554nSoEv8,16725,34296
bc1qafe83z20ks3amnnqm06r9924mwdsldzg2zsq38dja7lef2mfl4mq54ffpk,3BZtKLYBqMrYCbeWPDmQjR3e19ChsHgJfC,52007,27151
bc1qwcqfk46wuc886ju6gvv889ywpmjw3l8lkgfjzv,bc1qxzhcj9jquuz42z67nrc4mek3akmm3hsclewpzr,5181,39726
1Mx9AgB5po1AhkADyd5son5wAtg2Hn7VVc,13w8YrAEHtJwtUgcWxGYe6CHJHYmWsaBQG,96801,32295
1FB9DztimJUu6Hd3ojFA8SBVMn1oMYnQ6e,1GygFUJsekPGrpTxEKXUBKiyxCXfoDg5hK,302152,32295
3EGwHTT3gmsGUTYT5s4NMexoaokEmG2Uff,3CokHazeLsTkMAYM4bCbEphyTRjqW4X1JM,731854,23578
1KpSJGiW3RyrDXLawGp4ppCMG8CcvA3xa,bc1qezuzkzx2lp05lyqf84lhwjheq8xx73nl3z0h67,562653,31721
3PXFzHiZhAa7aYgZi9h9VgBnWvPVpEaEGL,bc1qcswlau3a83xanxxdh2ua4kxr3uwpw9zattp5pe,169674,30431
35dTYsydBawAo5L2gKMAkCJDjRAQWvCVHY,35dTYsydBawAo5L2gKMAkCJDjRAQWvCVHY,68479215,23716
35dTYsydBawAo5L2gKMAkCJDjRAQWvCVHY,35dTYsydBawAo5L2gKMAkCJDjRAQWvCVHY,58739751,23716
3A8KPMkqdk1gMD6fQdCN44VCuMEVSbXoD1,3GZeXfdeKNRy3dnnrYwiyjkBP71q8osB2o,2305798,59146
3Fxf1R2XKw9WB1zLjRYkYvvaeffJofSvPH,1D2Cb4qhNC6vYvjGV5TXL3DPmjeUMjqkSE,466858,130864
bc1qxlgrg29ru4xvt3cwhszpkdv88evq8d93tjz847,18eQwMuwKZF67nuavUBg79Fi4yAVfmRhgu,508000,72718
bc1qnal259r7yewanzn37w295rjwqre4ncpj0rmgf7,1H5HUS3F9FUtNRkjZg9uxXMXmYwFrv3q4o,359190,25287
1DomiGeekjBzL3MmacZemrTqEs8YYG9QB3,3A4yduTdXP73uzztZ69JjNvWVLedxNNbaB,691485,87433
3LZXjaiNAvcbH6mYhmuyn45Jhp21byDBhT,bc1qhnhh3j2fxn9fu5vcuqly4ntc39wzsq3yp8476f,32665315,57860
3HDcegA87HSF7RGzfH4fgjHUDBTzx9QHSv,1LhNqM7Dey7bSUb5CvJcwGDfMwPE35j8uK,621354,37573
34fv4KmnKwAVgBAsggPLjYC6ifjkLt8KRN,bc1qrkvmx5j80m64vklh3f9f0eg3vqtmyfzq4h0l4x,1990,1566349
19GXzM4yYbcv75ZNQ8ufEhEswoYVdszVaw,18A4q3WmWr3nfhBPn2TGWQsP42SQRfVW4H,995828,53145
3NamZAYPYSkPSoRRfbp3StFz4p591LMHBV,16d3Yqd9K6nHUNff5cNkBHrbi2bzFMF7pe,500892,295297
1BG8mZnGgVYhm3NzWExDRyP9hRVfKWpfXN,1APtLWVrrCRy3BseudTW7hNsyis1Le6b6s,1284115,32001
3AdHTDHTvAv3uy3GM3MTpv92YCxJAbGNgJ,3JFxDo3YMx43nWPwiwsC6ujUVzX31t9VaC,2316618,23715
36nSeaFbpNDeCGbsxB5MMniom9YsfuhRNA,1z4A8eHty1nN62gm3C1CHPwUSkHYprHhm,1785824,28858
bc1qd3uz4tre2rztuevr84rtgrnm8trdun5ndlfuja,1MoVBZVHFLBNbnheTdsdzvqU5vhk3hjePp,456300,20572
bc1qwduzl5x6qayntvys2lckasyjh00zyygcagmhe5,bc1q6nwsma8wdnuwwdx8agvnqknl2jnyxyz4yyphq0,9356622,20572
bc1qv4jww3gnrcqrk7r5v20zua7gkv527ja8lxukvy,bc1qetlpr5a5sj0yxs99q5895urqvxuku6005mhe5z,1210621,20286
1FJcdq8XDMbjK4SgWfcTmL2dqyUJimMsxs,bc1q645p98gghn3tzh3z3l0405dz45vdfr4vcq7lwx,1194524,26857
3DRgSxKGtkXvyS5VUrBNKCBMSyCVTqoNhV,34QQHjg1WfgKWGFUcLnepdd1mv166L9r1C,729377,23714
1JRWdaieKVZ6NBtBwLKvaHp25BsoASUw15,351uKAfBbqt5UuhoEL7Ta5avMvdvFK1Gu3,566401,26999
1FeVQLpoY6PWD1aJxN1dkTJQd9C1cyMhyS,34rk1nXEZ4VNqUSKiZkPzTA5UMyzgNgpf2,633792,26999
3QJLobA4zcTJYgwbx5YDeBqagGjCoaFDU7,3KvPtQoH7jVHDSFpiqoj9QqBFHCnhA8MQ3,1000182,114421
35cmWFvvVp3M9rtsRBJzDUQMhVEiWUUpau,1Eyf61pf3U15KnHw1BKiugrTbsWvb5Fv1F,100233,23998
1JgCHkTvK3b7uwFZyr8iqZHvgNyg344sAm,16VfgocMACZ8bEf4i2nkQ7bTyw9JwBs5jK,559052,27283
1Cv2UsxSRwWGoqyX2XAsM7TiKD2vunb3C1,1NJjtfDCNkQiwxzsUeYSRuZGz9nirRMpQK,285294,27283
3FmKTXXJuSa2Bbf8h8x17qk7iFNN9uvwgX,3DYbvcjLzWt3p1ydAUUgrZJsckX3R3fo3K,32000000,23710
3Kp8xwLZcsELAZKENhoMkHD98BQnvEb224,1J1QHz7FVTjEgQNkQM3HFim3k1zVbCbYQm,178729,32278
bc1qwxf0h2rhmtn26sdzc5h0qu4dz43thac5c7adn6,3PEdExMv3MmTtUt75adaNyugQJGH63Gsza,102943337,25560
1H8kXjZTKVFTQ71dqEEVeUuUJi4Pe8iD6R,121UDUB1o6XYDRtyeoAsLi3iBu1y1ABPdg,118975,95238
3PQHn2XSNYqbn5NMzfdRBvzKWFu29JLCBT,1FpofQxTC7DzTwkoQqZBgXi37nx9CCFh3n,106621486,51688
bc1qwzdp3leqmv4prg5c77s78c6392qh28fssthzps,bc1qk43n7d0x762z07aj5wzjudzjtmph5xzdrnwx08,103116,29841
bc1qmf3lxlgtfcq5np4720gzxzuavtgu36va0xmrcw,1PZcakdWw9tNzFQUMGVpBcRrbpXZYCYogx,3492355,35407
1MjMpJRyjYyDVHJJfriFbqYAx9rcX7WqEm,3HzQ6S8NEnLM1ME475JAmok3fxa94tnUgm,1228511,31830
1JJFcZnJLncGeZ1M3Xri9WmkNkqWXNmu7P,1EQy3pZwyzmKfhzMGka2Ed7JUQSb6cUo2t,12557,31830
1JtiQprsCJYgcCD6aEvErcqpo4EZYodJC8,18TNpWGxzTF6W9Jidzitubf5Ah5iXopo3j,169125,32115
1Q9ETd9uenrvPGWbuZ1uZ751hPdLH3sdbD,16gMYC9maRbDx6TB7mHq25FytCxuvuqx7P,571188,32115
132w85DfVWNWi7mX81tbfe9CH83wynn8WP,1567KAsVWe28ra4Rxck3Zruz5EfeX47mbj,61089477,32115
1FQ84N4V4mo2wMR3ybnDbU7phw5RJgaVta,1LJ5pHmHrKxJ5HRe8jPmQoyQdi17nEVBWX,149999,32115
1DMmDfxQPTYQVw4MzQAkBCeLhCYPsrNDwZ,32KfqvteqbwUfmTBCArfp1G8XRQvF2sxCp,77400,31400
3CyDADgqE3fUyZZdU1dqMq2v3k8HRdHNp3,3Lw1ojcaPR4z823LFxPgPrYSsafRH8p12U,3390438,36538
bc1qrjq9z2mdqjmslvp8lkle2c7xcjx955u46c6hu5,19gEYD9iKauQPcP4jREijZPwP2vJJ6qgyz,61856,16128
bc1q24vtw28sfsekrtnnmg30aufpdqacq629lrtj5m,1BiJJMwQAjjxGKzaFbomVYZdQJCqEYMX3k,130254974,16128
bc1qeaerguwjazew6jk9duwpuc6emr4kwnkk88y8ah,196LWaoNK6aZYs61y9wX42ymiJ5azT5qTh,3389632,16128
1H8kXjZTKVFTQ71dqEEVeUuUJi4Pe8iD6R,1J99xNTeZ15vGZZVkhWNWe6a7M87humHAn,94710,137280
bc1qfm5etl5mhg2yqwh0rgmspvfxqn2y7vyuanefu9kzzzjp6qqnz52q5aay6l,bc1qlhlm4lwq5h6fe2dfdhyhhy2yaq7cnqwclehsc5,254927,17267
bc1qp3cq6jcupgcw79uj3nlg406gaytff4nnsm45t6,bc1qw2wew8xg3jxh2rlkfhmje5wuyxplfyal9j3y34,4005000,29820
bc1qhnxpgagex8h3phmhq6vq00vxdyrqe7km42xxrg,bc1qgv47593kfunuvlujmxgy7hfdfzvacgqurwz5dx,61708,29962
bc1q8gum9t7pwmwfl79j0yq7lstpe22vhffyr795zn,3HLwThP3s6Vb52Fm4TKyVprEp9w4u2HSZT,600000,29962
bc1q523vxwu7a3tyvw48e2r5tdft8vjnymjaycdppy,35D5BBHaQbeadHxRbCHiT2mdBKJHr4LRyZ,163908,29962
bc1qgfmrhlp4upuyqg6rdfznn45vurlzkhzhg6cg5d,bc1q6zx94ezdwn7apnx558wlaz5jjfl0uqcwe76qz2,38565,30246
bc1q5078pkx46zta23v6c2hru38f34v3svwkx03w8w,1J8F5Yidx4VY2kpvXmXap1FkHGtj4dcr5P,141227,30246
bc1qtuahr60j60kclcsncmtl6jwyk6d4yf30gz5jhr,1HVbq7GjL4C9mccc3rFdZMwjnsMRBJ9Ggk,7000000,30246
3LnkA3RFqbrPV8Lx4H31zr7mPHSNutZ9sd,35LVbAMBZWa6KEw794RS1oe8FrdJTh4Led,57222696,615456
1GtZ8GbVtBbu1TNhpeiA1nAPjkyCeDWpuB,1JP3xT3yrGnDN5y7dJDPf61QKGj8S4HJZU,202886,31808
1HDWAto9mD4vwZkxE7RZ4nxvgYcA5vJQpG,3Pe1D7M969L6WggdJRTRVQTiPDWT9jdq3A,1084279,3471114
1GeskjYYegjyuB4CoxM2ugbtLmSEZn6PGb,13VjJcHzLeZyoyg2uHXo1wwn4Yr5F1hpBg,443534,32092
17aMuG5EwCdz8Rh1rvQK9PVhBLZD7D45Dj,1895cmJ1PYhJZ5jcU88ANucaX83z9F6vvw,170696,32092
1N4Ci2P4ozmoc1ghH7vHSXH2GvsNn1Ye1F,1624wX2XjN9DTHyVcB83EqT7LUziJ2uYS5,255400,32092
bc1q8cygx6ny00ye04m48fcfpqle3luxzfvkzlec4k,34Tv8UUFf9CFc4Bn2iMFuZ26j7wRgSqjxx,200349,29951
1AnU6WKeT2ATt7tvQjFRdL7SAcQMqfcKhX,null,0,40932
1CYitqPkSscc5bpGaUPT4sc32RRfjX4udg,1P5p2RVsrPAakv91SjUSz1sDSbtMXxwo1J,816217,53196
17bKeBwTTX7kMUsc5hG6f3nkf9RW3BwDzF,1EYKEmgFhawVJujdTjpuuAonU754Zvfebu,844097,52910
32FiCLiPCyjNqPgx6hrZgUmFYRqimDrnQ5,bc1qgy6rhzumumv0vw9lfc2j85c0v058xdhdqn8zxe,607,33370
13ayht5mAWaQanbAkXBdoceuFhYjWjWMZZ,1BtKrbcBUoqXPKp5UPr97Zehk4G9wo9yQB,397034,9602966
bc1qwlqmnfkz8q6pggsp007n38r2wf74rrnctml6d9,3LTjDh46eTUNPpjy7igzfUzhZXyXPGPE4g,1186547,20607
3LTjDh46eTUNPpjy7igzfUzhZXyXPGPE4g,3Gp3xHEz6ZdzxKg8g55qEec7oaFZuVcyUB,185071,23592
183ehGdkbPDYWsvRXmv7KCKRV1B2C5RVqo,bc1qz02pqxn8ttswyvu99t03nvcgkvtmt6j0rl5g5z,9984943,52603
19vhn28thmzEbdATuhRMkP7Kq1WURFEJP9,3J6CVmMcV2hCDQJ61kEE94M1AH47aBG1MH,1113424,521449
35LzqLERtxBXKLoCxHTGMpoVSchJn1cK9y,bc1qwts2tgqz50dg630r2mg3r4un7mr7prcrjfdf0w,1784,46008
1287V3JhNmtyrK2gF4dFRmL83x8DVt7Cr8,1AWbStoSZgZaKvTLvKD9QyJKAbrwRpbEAk,198000000,137290
3R2UESvm8Eer8fsHmr3gzNADkFfqKwoeBQ,3GnBXvJo7tFv89cE2JZnm7KhBTL5sWtwgr,3519100,36600
1As4U3ThfDMSoSmdNUMCCZapBVyxmaiS4b,1JB867fWrtn6gWkFbNmxJL2gjYT2XqnrFc,816928,31753
13ZKSCdhhsMh9X7GJuXBjpnvSt879rMMqi,1MaoegntGsMqHgd2XVS2cq64bjLZ5KGofm,150000,74176
1JwS3zqspgXVSqeGCqJUtALWtDpGnVRNJZ,18BqRRynQjHiRy4LrGZr7KHjj32V9YkSkc,40321,32175
1FD5qgbx3APxjvG7zwTq3wNpiMNfZmiUyH,1QHtddYqkrNK4LZnzbXeNfxoWxGN3sZd76,16128,32175
18DWQ2a9cB2mBSCuBm64kvDWoj6iFx4Pv1,1N9zhtDwCXoCj8DMYnCD6LSGdXe2tiXUTM,2016065,32175
3F6VVEy1cN5pXDZ3ioJUfQEzVbaMKECbuw,3D5vLCZ4vkSVCybhhUhn5Dp9eqqg7SaisM,990000,719230
39PsQnAa9nx7pEppTAxFjBtRAnR8swCwbh,3DpMjK7ENERQtJTbXhtcw4omk6ErgdV1mj,21371639,32032
1QEhr5aywvAvZZESNXm5Eb7E2CSjTKoYKN,3JBuu3ddNd6k9ME537PbR9uRF4HZ435keL,60300,31889
1M6JYM7tsaeTRr1F9i3wiERuks9sRQWcoN,3Qqqnyt9RzLTizoWiUkGdsVb2BLkZ5TZgo,27811,31889
1DHzS7L1GYwWPJpvbGfQRNti1d6DcVj13m,35E7R9GxyGDYGnKhh7LCs35qbNebHTLpuQ,20160,31889
14ivYySAwz5Qtka85pQWMmsaj8MWC5i6aH,3J97HrAmrTkWoYM13jhAqUEU5jzviDnGTF,416714,31889
1DkTJ5eFk6GYZTH8EMzkjSSUz1T9FrjKVX,3FAo24tcjFJZAKsJaGX2MxCjWcRfJ3HrJU,100409,31889
